VRT名称,VFG名称,CCC,旧件名称,故障描述,故障原因,故障模式
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,1.保养2.倒车影像模糊,经查，该车倒车影像模糊现象属实，判定是全景后摄像头总成自身问题。,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,1.车辆倒车摄像头漏气。里面有水珠。看不清。,经我站维修人员检查发现是：1.全景后摄像头总成，导致该故障现象。,全景进水
智能化,驾驶辅助,自适应巡航问题,车道偏离控制器总成,1.车辆亮故障灯。,经我站维修人员，电脑检测，是前视摄像头总成导致该故障现象。故障码：U179387   LCDAR报文通讯超时。,ACC/AEB/LKA故障灯亮
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,1.车辆前景影像绿屏,1.经检测全景前摄像头总成故障所致,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,1.车辆全景前影像模糊,1.经检测全景前摄像头总成故障所致,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,1.车辆右侧影响模糊2.车辆全景后影像绿屏,1.经检测外后视镜总成（右/合成件）故障所致2.经检测全景后摄像头总成故障所致,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,自适应巡航问题,自适应巡航控制器总成,1.车辆自适应巡航报故障,1.经检测自适应巡航控制器总成故障所致，报通讯故障,ACC/AEB/LKA失效
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（左/合成件）,1.车辆左侧影像绿屏。,经我站维修人员检查发现是：1.外后视镜总成（左/合成件）内置摄像头导致该故障现象。,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（左/合成件）,1.车辆左侧影像绿屏。,经我站维修人员检查发现是：1.外后视镜总成（左/合成件）导致该故障现象。,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（左/合成件）,1.车辆左侧影像绿屏。什么也看不到。非常影像使用。,经我站维修人员检查发现是：1.外后视镜总成（左/合成件）摄像头导致该故障现象。,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,1.车辆左右外后视镜总成有时不能折叠；2.组合后灯总成Ⅱ进水；3.左右组合后灯总成Ⅰ进水；4.全景前、后摄像头总成有水雾；5.左右组合前灯总成Ⅰ进水；,经检查是车辆1.左右外后视镜总成内部功能失效导致；2.左右组合后灯总成Ⅱ密封不良导致；3.组合后灯总成Ⅰ密封不良导致；4.全景前、后摄像头总成密封不良导致；5.左右组合前灯总成Ⅰ密封不良导致；,全景进水
智能化,驾驶辅助,自适应巡航问题,自适应巡航控制器总成,1.用户反映ACC进不去系统，报故障；2.全景前摄像头绿屏,1.检查发现自适应巡航控制器内部故障；2.检查发现全景前摄像头绿屏,ACC/AEB/LKA失效
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,1.用户反映倒车影像模糊；,1.检查发现全景前摄像头内部故障；,全景模糊
智能化,驾驶辅助,自适应巡航问题,前向毫米波雷达总成,1.用户反映紧急制动故障；2.端距摄像头模糊；,1.检查发现前向短距摄像头内部模糊；2.检查发现前向毫米波雷达失效；,ACC/AEB/LKA失效
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右 带摄像头和转接线）,1.用户反映左前内饰板有裂痕；2.左玻璃升到顶异响；3.左反光镜不折叠,1.检查发现左前门内饰板有裂痕，非人为原因导致；2.检查发现左前门玻璃升降器异响；3.检查发现左外后视镜内部故障,异响问题
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,10.27号客户反映后摄像头发绿,经检查为全景后摄像头总成故障导致客户反映后摄像头发绿,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,10月17日客户进店反映前摄像头起水雾为客户更换前摄像头总成，10月20日客户进店反映前摄像头才换几天又起水雾，,经维修技师检查需为摄像头故障，无拆装，无损伤，无碰撞，无人为因素,全景进水
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,10月28日客户进店检查后摄像头模糊,经检测为后摄像头内部模糊引起倒车时看不清楚,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,10月31日车主进店检查前摄像头（模糊）,经检查是全景前摄像头总成零件问题,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,10月31日中午客户进店反映车辆360后影像模糊。,经查为后摄像头进水导致故障。,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,12.8号用户进店反映车子前摄像头掉了，镜头直接掉下来了,检查自动泊车摄像头总成无磕碰，焊接处脱落,全景模糊
智能化,驾驶辅助,自适应巡航问题,前视摄像头总成,1客户反映道路辅助保持失效和智慧巡航失效,1.经检查为前视摄像头故障,ACC/AEB/LKA失效
智能化,驾驶辅助,自适应巡航问题,无零件,2024.12.22客户进站反应自适应巡航无法使用,经我站维修技师检查是由于前向毫米波雷达总成内部故障导致需更换,ACC/AEB/LKA失效
智能化,驾驶辅助,自动泊车系统问题,自动泊车传感器总成,2025.08.05客户反馈车辆行驶中，雷达老是误报，经常出现。前方并无障碍物.要求处理,经维修技师检查是泊车传感器故障,超声波雷达误报
智能化,驾驶辅助,人脸识别/车内拍照摄像头,前向短距摄像头转接支架,2025.08.15下午客户进店反映车辆行驶中车内异响,对车辆进行试车发现前向短距摄像头位置有吱吱电流声，拔掉后就无异响，判断是前向短距摄像头品质问题导致。,ACC/AEB/LKA失效
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,2025.10.19客户进店反映该车的雨刮不喷水，前后摄像头影像模糊，2025.10.28客户致电服务中心反映该车的仪表上全部的故障灯都亮完了,经技师检查是由于发动机舱保险丝盒主体故障导致车辆上不了高压，是由于刮水电动机和传动臂总成故障导致雨刮不喷水，是由于全景前摄像头总成故障导致前后摄像头影像模糊,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,2025.10.27客户反映后摄像头不清晰,经检查后摄像头内部故障,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜摄像头支架Ⅰ（右）,2025.11.30上午客户进店反应360提示无信号,经维修技师检查属右侧自动泊车摄像头总成内部故障导致,全景模糊
智能化,驾驶辅助,自适应巡航问题,前视摄像头总成,2025.2.8号下午，客户反馈车辆发动机故障灯亮。,"U1E0600 IB发送的2C2帧信号丢帧故障,U1E1B0O ESP发送的1C2帧信号丢帧故障,U1E4100 ADASACAN的通讯总线短时关闭故障;U178987 与VCU通讯丢失，U179687 与IB通讯丢失",ACC/AEB/LKA故障灯亮
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,2025.3.16客户进站反映车辆前泊车摄像头模糊,经检查确认车辆前自动泊车摄像头总成失效模糊,全景模糊
智能化,驾驶辅助,自动泊车系统问题,自动泊车传感器总成,2025.5.11下午，客户反映车辆右前雷达不提示。,经检查为右前自动泊车传感器总成故障导致车辆右前雷达不提示。,超声波雷达失效
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,2025.6.3号客户进店表示车辆右前后视镜摄像头有小黑点。,经技师检查后判定为车辆右前摄像头内部故障导致。,360故障
智能化,驾驶辅助,自动泊车系统问题,自动泊车传感器总成,2025.6.3客户进站反映车辆左前雷达无障碍物报警,经检查确认车辆左前动泊车传感器总成失效,超声波雷达误报
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,2025.8.11.10时进店反映前全景摄像头卡顿,经维修技师检查全景前摄像头故障导致，更换新件故障排除,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,无零件,2025.8.14 客户进店反馈前360影像模糊,经维修技师检查索赔更换自动泊车摄像头总成,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,2025.8.18上午客户反应车辆影像系统异常，无法使用360全景,经维修技师检查车辆前景摄像头内部线路故障导致车辆影像系统异常，无法使用360全景,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,2025.8.28客户进站反映车辆倒车影像是反的,经检查确认车辆自动泊车摄像头总成失效影像倒置,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,2025.9.1号下午客户到店反映前摄像头影像晃动,经师傅检查判定自动泊车摄像头总成内部破损脱落导致,全景模糊
智能化,驾驶辅助,自适应巡航问题,自适应巡航控制器总成,2025-01-13检查车辆ACC故障灯亮.,电脑检查故障码U196487传感器超时，进一步检查确认为自适应巡航控制器故障导致故障灯亮。,ACC/AEB/LKA故障灯亮
智能化,驾驶辅助,自适应巡航问题,智能驾驶域控制器总成,2025-06-13用户进站反映该车故障灯亮，,2025-06-13经我站检查报技术支持，建群分析怀疑驾驶域控制器工作异常导致报故障，ABA换后故障排除，,ACC/AEB/LKA故障灯亮
智能化,驾驶辅助,自动泊车系统问题,自动泊车传感器总成,2025-08-15 上午客户反馈自动倒车功能用不了,经维修技师检查为自动泊车传感器总成故障，需更换自动泊车传感器总成,超声波雷达失效
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,2025-09-20客户进店，8月20日前后，车辆低速行驶时，前后左右摄像头无影像，车机大屏提示摄像头异常，,读取当前及历史无故障码，版本最新。诊断为自动泊车摄像头总成故障。,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（左/合成件）,2025-09-27下午客户反映左前外后视镜摄像头显示屏影像绿屏,经技师检查左前外后视镜总成内部故障显示屏影像绿屏确认故障存在,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,2025-10-11客户反映后摄像头有雾气,检查为全景后摄像头总成密封不良有雾气,全景模糊
智能化,驾驶辅助,自动泊车系统问题,自动泊车摄像头总成,2025-10-29上午，用户反映车的倒车摄像头不亮，后排座椅异响,自动泊车摄像头总成内部故障，乘客40%座椅坐垫总成（合成件）异响,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,无零件,2025-11-02故障现象，360全景重影,客户反馈新车，标定修复。,标定问题
智能化,驾驶辅助,自动泊车系统问题,自动泊车传感器总成,2025-7-30客户进店反映后面雷达故障,经师傅检查发现左后自动泊车传感器总成内部故障,超声波雷达失效
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,2025-7-4下午客户到店反应前影像看不清楚，充电盖按几下才打得开。,经检查：前摄像头与充电口盖固定盒外观完好无损伤，前影像看不清楚确定是前摄像头内有水雾珠导致，充电盖按几下才打得开确定是充电口盖固定盒开启机构问题导致。,360故障
智能化,驾驶辅助,自动泊车系统问题,自动泊车摄像头总成,2025-8-2上午前摄像头模糊,自动泊车摄像头总成内故障,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,2025-9-16下午客户到店反映全景前影像模糊不清楚。,经检查：全景自动泊车前摄像头外观完好无损伤，模糊不清楚确定是摄像头内有水雾珠导致，且水雾珠不会消散。,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,2025-9-9客户进店反映后摄像头模糊看不清,经检查自动泊车后摄像头进水起雾导致影像模糊,全景模糊
智能化,驾驶辅助,自动泊车系统问题,自动泊车传感器总成,2025难8月21日下午，客户进店反馈右前雷达报错.,经维修技师检查为自动泊车传感器总成工作异常，导致右前雷达报错.,超声波雷达失效
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,2025年10月18日客户到店反应该车360全景前视模糊，且雨天和洗车后自动泊车无法使用。,经我站技师检查为自动泊车摄像头总成密封不严导致内部摄像头模糊故障。申请更换自动泊车摄像头总成,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,倒车摄像头总成,2025年10月22日8时客户反映倒车影像不显示,经检查倒车影像不显示为后保险杠电线束总成及倒车摄像头总成故障导致,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,2025年12月10日10:10:18分客户反映前置摄像头偶会成绿光,全景前摄像头总成异常,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,智能驾驶域控制器总成,2025年2月6日下午，客户反映360全景功能无法使用过大,经师傅与技术老师指导检测，判断为智能驾驶域控制器总成内部零件损坏导致故障,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,倒车雷达传感器总成,2025年4月17日下午客户到店检查偶发性挂倒挡时后方无物体却会报警,技师检查情况属实，进行ABA倒换测试故障消除，判断倒车雷达传感器总成故障,其它问题
智能化,驾驶辅助,自适应巡航问题,自适应巡航控制器总成,2025年4月21日上午客户到店反应ACC故障灯亮，无法使用,经师傅检查确认是自适应巡航控制器总成质量问题导致，需要更换,ACC/AEB/LKA故障灯亮
智能化,驾驶辅助,倒车/全景影像系统问题,倒车摄像头总成,2025年4月8日下午客户到店检查后摄像头看不清,技师检查情况属实，检查外观无挂车，进行ABA倒换测试更换倒车摄像头总成故障消除，判定倒车摄像头总成故障,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,2025年5月29日，客户进站反馈前摄像头影像模糊。,经维修技师检查为前自动泊车摄像头总成镜头脱落导致。,全景模糊
智能化,驾驶辅助,自动泊车系统问题,自动泊车摄像头总成,2025年6月15日上午，客户进店反馈左后视镜摄像头脱落。,经维修技师检查为自动泊车摄像头总成内部故障，导致左后视镜摄像头脱落。,全景模糊
智能化,驾驶辅助,自适应巡航问题,自适应巡航控制器总成,2025年6月1日上午客户到店检查故障灯亮,技师进行标定显示标定失败，技师检查前方无磕碰痕迹，再次进行标定每次标定到百分之九十九时显示标定失败，进行ABA倒换测试故障消除，判断自适应巡航控制器总成故障,ACC/AEB/LKA故障灯亮
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,2025年6月29日，北京新兴快马汽车服务有限公司丰台销售分公司，客户报修前摄像头影像模糊。,检查为前摄像头内部故障。,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,2025年7月16日上午，客户进店反馈前摄像头模糊。,经维修技师检查为自动泊车摄像头总成进水，导致前摄像头模糊。,全景模糊
智能化,驾驶辅助,自适应巡航问题,自适应巡航控制器总成,2025年7月22日12：41客户反映ACC不可用，提示故障,检查发现为前保险杠电线束总成与自适应巡航控制器总成接触不良导致ACC不好用,ACC/AEB/LKA失效
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,2025年7月31日中午，客户进店反映前摄像头花屏,经师傅检查发现全景前摄像头总成有光痕,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,2025年8月20日客户进店反映摄像头模糊，有时候无法使用,经过师傅用诊断仪读取故障码为B195707 前摄像头信号线断路B195E32环视摄像头其他故障，检查是前摄像头捏部有水雾导致，前摄像头外观无碰撞破损，判断自动泊车摄像头总成内部故障导致的,全景模糊
智能化,驾驶辅助,自动泊车系统问题,自动泊车传感器总成,2025年8月4日下午客户反应车辆正常行驶右前无障碍物雷达却一直报警有障碍物,技师进行检查使用710读取到故障码B195E05 前视感知信息委失[目标/车道线/AEB信息] B197A0A 右前角传感器表面附着物 检查外观无附着物，根据维修手册判断自动泊车传感器总成故障,超声波雷达误报
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,2025年9月17号客户进店反馈前摄像头模糊,经维修技师检查为自动泊车摄像头总成故障,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（右/合成件）,360绿屏,右后视镜摄像头问题,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,智能驾驶域控制器总成,360全景摄像头无法使用,智能驾驶域控制器总成故障,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,360全景无法使用，提示摄像头故障,经维修技师检查是左外摄像头故障,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,360全景影像模糊,经检查为前后左右摄像头密封不良进水导致。,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（左/合成件）,360全景影像左侧显示花屏。,检查确认为左前后视镜摄像头性能不佳导致花屏。,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（右）（合成件）,360全景右侧影像绿屏,经检查为右外后视镱上的摄像头故障导致,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（右/合成件）,360影响左边无法显示，一直是绿屏,外后视镜总成（右）摄像头故障,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景后摄像头总成,360影像，后面绿屏,班组检查判断车辆的后摄像头内部故障导致的，,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,全景前摄像头总成,360影像，前部偶尔绿屏，,班组检查判断是前摄像头内部故障导致，判断质量问题,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,自适应巡航问题,智能驾驶域控制器总成,360影像不显示，自动泊车不能用，行车记录仪不能用,维修技师检查，确认是智能驾驶域控制器总成故障。建议更换智能驾驶域控制器总成,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,360影像前部模糊,经检查，因前摄像头内部存在水珠导致模糊,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（右/合成件）,360影像右侧绿屏,经技师检查故障存在，检查线路连接正常，控制器正常，检查确认为右后视镜摄像头故障导致，无外力损坏，更换后，故障排除,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（右/合成件）,360影像右侧有绿屏。,检查鉴定为右后视镜摄像头性能故障导致影像绿屏。,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（右/合成件）,360右侧影像绿屏。,检查判断右后视镜摄像头性能故障导致有时绿屏。,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（右 带摄像头和转接线）,360右侧影像有几根白色弧形线条,经检查为右外后视镜的摄像头故障导致,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（左/合成件）,360左侧影像偶发闪屏。,检查鉴定为左后视镜摄像头偶发性能不良故障。,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,无零件,360左摄像头看不到了,360左摄像头内部电器故障,360故障
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,3月26日上午客户进店反映车辆360前影像模糊。,经查为前摄像头镜头脱落导致故障。,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,无零件,5.3号客户进站反映左外后视镜无法折叠，上报技术室后，5.3日厂家安排人员到店现场更换左外后视镜后，需全景影像标定,经维修技师检查左外后视镜内部故障导致,标定问题
智能化,驾驶辅助,倒车/全景影像系统问题,云台摄像头总成,5月22客户进店反映云台相机异响,经维修技师检查为云台摄像头故障，无拆装，无损伤，无碰撞，无人为因素,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,7.18号用户进店反映车子前摄像头显示画面模糊，看不清楚,检查发现自动泊车摄像头总成镜头脱落导致,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,7月18日客户进店检查自动泊车摄像头模糊,经检测为自动泊车摄像头总成内部脱落引起,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,7月28日客户反映前摄像头松动显示模糊,经师傅检查是前摄像头存在故障,全景模糊
智能化,驾驶辅助,倒车/全景影像系统问题,自动泊车摄像头总成,8.21日客户反映车辆右侧后视镜摄像头不能使用,经检查为车辆右侧后视镜摄像头的故障,360故障
智能化,驾驶辅助,并线辅助系统问题,侧向毫米波雷达总成,8月13号，客户反映车辆并线辅助功能失灵,经我站维修技师检查属于侧向毫米波雷达总成，内部故障导致,并线辅助功能失效
智能化,驾驶辅助,自动泊车系统问题,自动泊车传感器总成,8月15日客户反映左前雷达误报左后倒车灯内部有水滴,经师傅检查是左前雷达及左后倒车灯存在故障,超声波雷达误报
智能化,驾驶辅助,倒车/全景影像系统问题,外后视镜总成（左/合成件）,9.15号用户进店反映车子左边360画面绿屏。,检查ABA对调发现外后视镜总成（左/合成件）故障导致画面绿屏,360绿屏/黑屏/花屏/蓝屏
智能化,驾驶辅助,自适应巡航问题,自适应巡航控制器总成,ACC故障灯亮，解码仪无法进入读取信息右前门锁异响,ACC质量问题导致故障右前门锁故障,ACC/AEB/LKA故障灯亮
智能化,驾驶辅助,自适应巡航问题,自适应巡航控制器总成,ACC模块无法正常使用,经检查无外力也无事故维修属于零件本身问题导致,ACC/AEB/LKA失效
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右）（合成件）,pdi检查发现前右侧两路摄像头不显示，,互换配件后问题解决，更换摄像头后问题解决,摄像头问题
车身外饰,玻璃及后视镜,车外后视镜问题,外后视镜总成（右/合成件）,y客户报修车辆全景影像右侧黑屏，车身底盘有一个排水管无法固定。,经检查为外后视镜总成（右/合成件）故障，天窗排水管堵头故障。,摄像头问题
智能化,驾驶辅助,并线辅助系统问题,侧向毫米波雷达总成,并线辅助灯亮,经检查为侧向毫米波雷达故障导致,并线辅助故障灯亮
